cell_id,x,y,space
c_0,123.24684906,47.2758102417,CAFE
c_1,121.59288024899999,49.439250946,CAFE
c_2,122.885040283,52.075202941899995,CAFE
c_3,125.469390869,53.389587402299995,CAFE
c_4,127.58855438200001,51.7034416199,CAFE
c_5,127.53686523399999,47.3285751343,CAFE
c_6,127.53686523399999,41.9463577271,CAFE
c_7,122.41986084,41.590179443400004,CAFE
c_8,121.59288024899999,45.0068359375,CAFE
c_9,127.53686523399999,36.5641403198,CAFE
c_10,122.41986084,36.9203186035,CAFE
c_11,127.53686523399999,31.1819229126,CAFE
c_12,123.24684906,31.234691619899998,CAFE
c_13,121.59288024899999,33.5036659241,CAFE
c_14,126.63988494899999,25.9580078125,CAFE
c_15,122.882652283,26.432907104499996,CAFE
c_16,121.59288024899999,29.071249008200002,CAFE
c_17,129.811096191,53.384803772,CAFE
c_18,132.395431519,51.70104599,CAFE
c_19,132.80892944299998,47.3285751343,CAFE
c_20,132.80892944299998,41.9463577271,CAFE
c_21,132.80892944299998,36.5641403198,CAFE
c_22,132.80892944299998,31.1819229126,CAFE
c_23,133.145248413,25.9580059052,CAFE
c_24,129.799133301,25.1137371063,CAFE
c_25,134.152801514,53.3800163269,CAFE
c_26,136.737136841,53.3752365112,CAFE
c_27,138.49447631799998,51.6962585449,CAFE
c_28,138.080978394,47.3285751343,CAFE
c_29,138.080978394,41.9463577271,CAFE
c_30,138.080978394,36.5641403198,CAFE
c_31,138.080978394,31.1819229126,CAFE
c_32,137.715957642,25.9580078125,CAFE
c_33,141.078826904,53.370449066199996,CAFE
c_34,143.301361084,51.6938705444,CAFE
c_35,143.353042603,47.3285751343,CAFE
c_36,143.353042603,41.9463577271,CAFE
c_37,143.353042603,36.5641403198,CAFE
c_38,143.353042603,31.1819229126,CAFE
c_39,144.221328735,25.9580078125,CAFE
c_40,141.05252075200002,25.1137371063,CAFE
c_41,145.420532227,53.365661621099996,CAFE
c_42,148.002487183,52.0440979004,CAFE
c_43,149.28985595700001,49.408149719200004,CAFE
c_44,147.638275146,47.261455535900005,CAFE
c_45,149.285079956,44.980522155799996,CAFE
c_46,147.635894775,42.356533050500005,CAFE
c_47,149.280303955,40.5528869629,CAFE
c_48,149.275512695,37.9193344116,CAFE
c_49,147.631103516,36.1348304749,CAFE
c_50,149.270736694,33.4917068481,CAFE
c_51,147.628707886,31.2299041748,CAFE
c_52,149.265945435,29.0640716553,CAFE
c_53,147.971374512,26.430517196700002,CAFE
c_55,121.22866821299999,24.7443695068,CAFE
c_65,121.23106384299999,53.7637405396,CAFE
c_66,149.606231689,24.7419776917,CAFE
c_76,164.363983154,46.9149398804,ENERGY_LAB_1
c_77,162.625244141,49.0328178406,ENERGY_LAB_1
c_78,162.625244141,51.717628479,ENERGY_LAB_1
c_79,164.363983154,55.3564720154,ENERGY_LAB_1
c_80,167.41644287100002,55.8602104187,ENERGY_LAB_1
c_81,168.73358154299999,52.893920898400005,ENERGY_LAB_1
c_82,169.26725769,50.8488082886,ENERGY_LAB_1
c_83,168.873809814,47.0989151001,ENERGY_LAB_1
c_84,168.873809814,41.3421936035,ENERGY_LAB_1
c_85,163.494613647,40.9241714478,ENERGY_LAB_1
c_86,162.625244141,44.4291000366,ENERGY_LAB_1
c_87,168.873809814,35.5854721069,ENERGY_LAB_1
c_88,163.494613647,36.0321998596,ENERGY_LAB_1
c_89,168.873809814,29.828744888299997,ENERGY_LAB_1
c_90,164.363983154,30.0318660736,ENERGY_LAB_1
c_91,162.625244141,32.5368423462,ENERGY_LAB_1
c_92,168.873809814,24.0720214844,ENERGY_LAB_1
c_93,163.494613647,24.234645843499997,ENERGY_LAB_1
c_94,162.625244141,27.933124542199998,ENERGY_LAB_1
c_95,168.873809814,18.3152961731,ENERGY_LAB_1
c_96,164.363983154,18.3290138245,ENERGY_LAB_1
c_97,162.625244141,20.6445903778,ENERGY_LAB_1
c_98,168.928146362,13.7205085754,ENERGY_LAB_1
c_99,166.700408936,12.0064754486,ENERGY_LAB_1
c_100,163.983627319,13.353666305499999,ENERGY_LAB_1
c_101,162.625244141,16.040870666500002,ENERGY_LAB_1
c_102,171.884887695,51.720333099399994,ENERGY_LAB_1
c_103,174.262542725,50.8488082886,ENERGY_LAB_1
c_104,174.415985107,47.0989151001,ENERGY_LAB_1
c_105,174.415985107,41.3421936035,ENERGY_LAB_1
c_106,174.415985107,35.5854721069,ENERGY_LAB_1
c_107,174.415985107,29.828744888299997,ENERGY_LAB_1
c_108,174.415985107,24.0720214844,ENERGY_LAB_1
c_109,174.415985107,18.3152961731,ENERGY_LAB_1
c_110,173.981307983,13.7181158066,ENERGY_LAB_1
c_111,171.264556885,12.0016899109,ENERGY_LAB_1
c_112,176.333282471,51.720336914099995,ENERGY_LAB_1
c_113,178.934265137,51.720336914099995,ENERGY_LAB_1
c_114,180.558319092,50.8488082886,ENERGY_LAB_1
c_115,179.958175659,47.0989151001,ENERGY_LAB_1
c_116,179.958175659,41.3421936035,ENERGY_LAB_1
c_117,179.958175659,35.5854721069,ENERGY_LAB_1
c_118,179.958175659,29.828744888299997,ENERGY_LAB_1
c_119,179.958175659,24.0720214844,ENERGY_LAB_1
c_120,179.958175659,18.3152961731,ENERGY_LAB_1
c_121,180.392868042,13.713332176199998,ENERGY_LAB_1
c_122,178.545471191,11.9921207428,ENERGY_LAB_1
c_123,175.828704834,11.9969053268,ENERGY_LAB_1
c_124,183.382659912,51.720336914099995,ENERGY_LAB_1
c_125,185.553619385,50.8488082886,ENERGY_LAB_1
c_126,185.50036621099997,47.0989151001,ENERGY_LAB_1
c_127,185.50036621099997,41.3421936035,ENERGY_LAB_1
c_128,185.50036621099997,35.5854721069,ENERGY_LAB_1
c_129,185.50036621099997,29.828744888299997,ENERGY_LAB_1
c_130,185.50036621099997,24.0720214844,ENERGY_LAB_1
c_131,185.50036621099997,18.3152961731,ENERGY_LAB_1
c_132,185.446044922,13.7109394073,ENERGY_LAB_1
c_133,183.109619141,11.9873371124,ENERGY_LAB_1
c_134,187.83103942900001,51.720336914099995,ENERGY_LAB_1
c_135,190.43284606900002,50.3087615967,ENERGY_LAB_1
c_136,190.002807617,47.518325805699995,ENERGY_LAB_1
c_137,191.734985352,45.566703796400006,ENERGY_LAB_1
c_138,191.736618042,42.7435531616,ENERGY_LAB_1
c_139,190.004455566,40.8573570251,ENERGY_LAB_1
c_140,191.738265991,38.0014915466,ENERGY_LAB_1
c_141,190.005279541,35.6079673767,ENERGY_LAB_1
c_142,191.73991394,33.259433746300004,ENERGY_LAB_1
c_143,190.006103516,30.3585739136,ENERGY_LAB_1
c_144,191.74154663099998,28.5173721313,ENERGY_LAB_1
c_145,191.74319458,25.694221496599997,ENERGY_LAB_1
c_146,190.00773620599998,23.6976070404,ENERGY_LAB_1
c_147,191.744842529,20.9521617889,ENERGY_LAB_1
c_148,190.00857543900003,18.448215484600002,ENERGY_LAB_1
c_149,191.74645996099997,16.2101020813,ENERGY_LAB_1
c_150,190.38973999,13.3893432617,ENERGY_LAB_1
c_151,187.673797607,11.9825515747,ENERGY_LAB_1
c_152,165.66746521,64.9495544434,ENERGY_LAB_1
c_153,167.69900512700002,63.7741470337,ENERGY_LAB_1
c_154,168.71990966799999,61.426067352299995,ENERGY_LAB_1
c_155,168.726745605,59.078903198199995,ENERGY_LAB_1
c_156,162.625244141,58.2402572632,ENERGY_LAB_1
c_157,162.625244141,60.9250717163,ENERGY_LAB_1
c_158,163.639328003,63.6089706421,ENERGY_LAB_1
c_54,117.623321533,25.2513084412,OPEN_EXHIBITION_SPACE_2
c_56,121.64575195299999,21.1275501251,OPEN_EXHIBITION_SPACE_2
c_57,118.812271118,20.733549118,OPEN_EXHIBITION_SPACE_2
c_58,117.623321533,30.0855331421,OPEN_EXHIBITION_SPACE_2
c_59,118.39518737799999,33.4343414307,OPEN_EXHIBITION_SPACE_2
c_60,117.623321533,36.8985137939,OPEN_EXHIBITION_SPACE_2
c_61,117.623321533,41.7327423096,OPEN_EXHIBITION_SPACE_2
c_62,118.39518737799999,45.156658172600004,OPEN_EXHIBITION_SPACE_2
c_63,117.623321533,48.5457229614,OPEN_EXHIBITION_SPACE_2
c_64,117.623321533,53.3799476624,OPEN_EXHIBITION_SPACE_2
c_67,149.506698608,21.1275501251,OPEN_EXHIBITION_SPACE_2
c_68,147.448730469,18.829902648900003,OPEN_EXHIBITION_SPACE_2
c_69,144.966339111,21.1275501251,OPEN_EXHIBITION_SPACE_2
c_70,141.499420166,19.9787254333,OPEN_EXHIBITION_SPACE_2
c_71,136.623535156,19.9787254333,OPEN_EXHIBITION_SPACE_2
c_72,133.306045532,21.1275501251,OPEN_EXHIBITION_SPACE_2
c_73,130.726486206,21.1275501251,OPEN_EXHIBITION_SPACE_2
c_74,127.27423095700001,18.829902648900003,OPEN_EXHIBITION_SPACE_2
c_75,124.22532653799999,21.1275501251,OPEN_EXHIBITION_SPACE_2
c_159,49.462944030799996,47.988658905,OPEN_EXHIBITION_SPACE_2
c_160,51.581733703599994,48.894233703599994,OPEN_EXHIBITION_SPACE_2
c_161,53.542533874499995,46.9905853271,OPEN_EXHIBITION_SPACE_2
c_162,53.217445373500006,43.6691131592,OPEN_EXHIBITION_SPACE_2
c_163,50.7161254883,42.9405021667,OPEN_EXHIBITION_SPACE_2
c_164,48.3244857788,44.318935394300006,OPEN_EXHIBITION_SPACE_2
c_165,47.7266044617,46.0456161499,OPEN_EXHIBITION_SPACE_2
c_166,48.9224967957,50.024192810100004,OPEN_EXHIBITION_SPACE_2
c_167,50.265083313000005,52.0300064087,OPEN_EXHIBITION_SPACE_2
c_168,51.2957267761,52.849941253699996,OPEN_EXHIBITION_SPACE_2
c_169,52.071937561000006,51.749702453599994,OPEN_EXHIBITION_SPACE_2
c_170,59.424934387200004,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_171,53.542533874499995,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_172,53.072536468500005,18.1419124603,OPEN_EXHIBITION_SPACE_2
c_173,55.0333366394,20.045558929400002,OPEN_EXHIBITION_SPACE_2
c_174,59.424934387200004,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_175,53.6119194031,22.953361511199997,OPEN_EXHIBITION_SPACE_2
c_176,55.0623168945,25.1509990692,OPEN_EXHIBITION_SPACE_2
c_177,59.424934387200004,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_178,53.669883728,27.453306198099998,OPEN_EXHIBITION_SPACE_2
c_179,55.0913009644,30.2564373016,OPEN_EXHIBITION_SPACE_2
c_180,59.424934387200004,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_181,53.7278442383,31.9532470703,OPEN_EXHIBITION_SPACE_2
c_182,53.7858085632,34.5495452881,OPEN_EXHIBITION_SPACE_2
c_183,55.1492614746,36.6600265503,OPEN_EXHIBITION_SPACE_2
c_184,59.424934387200004,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_185,53.8437728882,39.0494918823,OPEN_EXHIBITION_SPACE_2
c_186,55.1782455444,41.765468597399995,OPEN_EXHIBITION_SPACE_2
c_187,59.424934387200004,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_188,59.424934387200004,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_189,55.503337860100004,48.894233703599994,OPEN_EXHIBITION_SPACE_2
c_190,55.0131378174,52.2256126404,OPEN_EXHIBITION_SPACE_2
c_191,58.444534301800005,51.749702453599994,OPEN_EXHIBITION_SPACE_2
c_192,55.0131378174,57.9365501404,OPEN_EXHIBITION_SPACE_2
c_193,58.444534301800005,57.460639953599994,OPEN_EXHIBITION_SPACE_2
c_194,58.444534301800005,55.5569915771,OPEN_EXHIBITION_SPACE_2
c_195,55.503337860100004,55.0810813904,OPEN_EXHIBITION_SPACE_2
c_196,54.52293396,56.032905578599994,OPEN_EXHIBITION_SPACE_2
c_197,55.503337860100004,64.1234054565,OPEN_EXHIBITION_SPACE_2
c_198,59.424934387200004,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_199,58.444534301800005,61.2679290771,OPEN_EXHIBITION_SPACE_2
c_200,55.0131378174,60.7920188904,OPEN_EXHIBITION_SPACE_2
c_201,53.7467269897,65.6057052612,OPEN_EXHIBITION_SPACE_2
c_202,52.7663269043,67.5093536377,OPEN_EXHIBITION_SPACE_2
c_203,53.542533874499995,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_204,59.424934387200004,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_205,65.3073348999,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_206,65.3073348999,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_207,65.3073348999,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_208,65.3073348999,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_209,65.3073348999,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_210,65.3073348999,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_211,65.3073348999,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_212,60.405334472700005,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_213,65.3073348999,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_214,60.405334472700005,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_215,65.3073348999,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_216,65.3073348999,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_217,63.324974060100004,71.7476959229,OPEN_EXHIBITION_SPACE_2
c_218,65.285774231,69.8440475464,OPEN_EXHIBITION_SPACE_2
c_219,71.1897354126,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_220,71.1897354126,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_221,71.1897354126,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_222,71.1897354126,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_223,71.1897354126,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_224,71.1897354126,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_225,71.1897354126,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_226,71.1897354126,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_227,71.1897354126,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_228,71.1897354126,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_229,67.6301727295,71.7491760254,OPEN_EXHIBITION_SPACE_2
c_230,70.5929412842,69.83583068850001,OPEN_EXHIBITION_SPACE_2
c_231,77.0721359253,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_232,77.0721359253,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_233,77.0721359253,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_234,77.0721359253,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_235,77.0721359253,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_236,77.0721359253,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_237,77.0721359253,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_238,77.0721359253,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_239,77.0721359253,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_240,77.0721359253,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_241,72.36209869380001,71.73273468020001,OPEN_EXHIBITION_SPACE_2
c_242,73.8434753418,74.6475982666,OPEN_EXHIBITION_SPACE_2
c_243,76.0917358398,73.6416320801,OPEN_EXHIBITION_SPACE_2
c_244,78.0525360107,69.8343429565,OPEN_EXHIBITION_SPACE_2
c_245,82.954536438,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_246,82.954536438,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_247,82.954536438,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_248,82.954536438,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_249,82.954536438,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_250,82.954536438,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_251,82.954536438,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_252,82.954536438,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_253,82.954536438,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_254,82.954536438,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_255,82.954536438,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_256,78.0525360107,77.448928833,OPEN_EXHIBITION_SPACE_2
c_257,82.954536438,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_258,77.0721359253,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_259,82.954536438,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_260,77.3289108276,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_261,79.9948959351,88.2735824585,OPEN_EXHIBITION_SPACE_2
c_262,83.6133270264,87.47105407709999,OPEN_EXHIBITION_SPACE_2
c_263,88.8369445801,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_264,88.8369445801,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_265,88.8369445801,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_266,88.8369445801,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_267,88.8369445801,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_268,88.8369445801,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_269,88.8369445801,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_270,88.8369445801,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_271,88.8369445801,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_272,88.8369445801,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_273,88.8369445801,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_274,88.8369445801,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_275,88.8369445801,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_276,87.6709442139,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_277,89.4585571289,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_278,94.71934509280001,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_279,94.71934509280001,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_280,94.71934509280001,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_281,94.71934509280001,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_282,94.71934509280001,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_283,94.71934509280001,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_284,94.71934509280001,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_285,94.71934509280001,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_286,94.71934509280001,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_287,94.71934509280001,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_288,94.71934509280001,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_289,94.71934509280001,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_290,94.71934509280001,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_291,92.4893722534,88.2735824585,OPEN_EXHIBITION_SPACE_2
c_292,94.8089599609,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_293,100.601745605,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_294,100.601745605,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_295,100.601745605,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_296,100.601745605,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_297,100.601745605,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_298,100.601745605,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_299,100.601745605,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_300,100.601745605,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_301,100.601745605,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_302,100.601745605,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_303,100.601745605,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_304,100.601745605,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_305,100.601745605,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_306,97.30780029299999,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_307,101.00980377200001,87.47105407709999,OPEN_EXHIBITION_SPACE_2
c_308,106.484146118,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_309,106.484146118,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_310,106.484146118,25.0986614227,OPEN_EXHIBITION_SPACE_2
c_311,106.484146118,30.809597015399998,OPEN_EXHIBITION_SPACE_2
c_312,106.484146118,36.5205345154,OPEN_EXHIBITION_SPACE_2
c_313,106.484146118,42.2314720154,OPEN_EXHIBITION_SPACE_2
c_314,106.484146118,47.9424095154,OPEN_EXHIBITION_SPACE_2
c_315,106.484146118,53.6533470154,OPEN_EXHIBITION_SPACE_2
c_316,106.484146118,59.3642845154,OPEN_EXHIBITION_SPACE_2
c_317,106.484146118,65.0752258301,OPEN_EXHIBITION_SPACE_2
c_318,106.484146118,70.7861633301,OPEN_EXHIBITION_SPACE_2
c_319,106.484146118,76.4971008301,OPEN_EXHIBITION_SPACE_2
c_320,106.484146118,82.2080383301,OPEN_EXHIBITION_SPACE_2
c_321,104.98384857200001,88.2735748291,OPEN_EXHIBITION_SPACE_2
c_322,106.938598633,86.66854095459999,OPEN_EXHIBITION_SPACE_2
c_323,112.366546631,19.3877239227,OPEN_EXHIBITION_SPACE_2
c_324,112.366546631,13.6767864227,OPEN_EXHIBITION_SPACE_2
c_325,112.366546631,25.0986614227,OPEN_EXHIBITION_SPACE_2
